trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9801986733067553}",20,0,-26.160157689618394,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.9607894391523232}",20,0,-208.89205655099494,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.05, 'e': 0.9417645335842487}",35,0,-173.36435482605012,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.9231163463866358}",25,0,-156.86421594097905,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.9048374180359595}",20,0,-78.57637774181251,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.05, 'e': 0.8869204367171575}",25,0,-102.97778009935037,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.8693582353988059}",25,0,-110.88968290441211,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.8521437889662113}",25,0,-51.343609539849524,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.835270211411272}",20,0,-201.98524724066917,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.05, 'e': 0.8187307530779818}",25,0,-121.07853675548063,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.05, 'e': 0.8025187979624785}",25,0,-179.78379650048245,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.05, 'e': 0.7866278610665535}",25,0,-90.92849263587134,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.7710515858035663}",20,0,-73.39811484664446,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.7557837414557255}",30,0,-131.32548184315402,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.7408182206817179}",20,0,-59.85692313095479,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.7261490370736909}",25,0,-42.32299139612293,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.05, 'e': 0.7117703227626097}",30,0,-74.65468225630629,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.697676326071031}",20,0,-76.06585849236025,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.6838614092123558}",20,0,-39.128682771014944,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.05, 'e': 0.6703200460356393}",25,0,-168.7003195662613,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
21,False,"{'a': 0.05, 'e': 0.6570468198150567}",25,0,-43.968747494557675,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.6440364210831414}",30,12,-50.77041705997958,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.05, 'e': 0.631283645506926}",25,0,-92.08075834425452,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.6187833918061408}",20,0,-91.1256229144267,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
25,False,"{'a': 0.05, 'e': 0.6065306597126334}",20,0,-15.407324351610644,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.05, 'e': 0.5945205479701944}",25,0,-44.81262168993282,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.05, 'e': 0.5827482523739896}",20,0,-32.477151834078875,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
28,False,"{'a': 0.05, 'e': 0.5712090638488149}",20,0,-12.95935537971895,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.05, 'e': 0.559898366565402}",25,18,2.9378125194103903,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.05, 'e': 0.5488116360940265}",35,6,-121.64831928845251,"{0: 21, 1: 0, 2: 3, 3: 4, 4: 1}",1
31,False,"{'a': 0.05, 'e': 0.5379444375946745}",30,0,-6.8384899334231575,"{0: 25, 1: 4, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.05, 'e': 0.5272924240430485}",20,3,-47.04202477953001,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.05, 'e': 0.5168513344916992}",20,16,6.39394591455959,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.05, 'e': 0.5066169923655895}",35,19,8.231119238981105,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.05, 'e': 0.49658530379140947}",20,0,17.63079779898098,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.4867522559599717}",30,0,-195.48965631983427,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
