trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,1,-115.6952066664126,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.69988238447519,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.93263789978124,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.93024353600094,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.2132081913496,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.9060786546116,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.05489207145379,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.65388413952794,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.17305342036184,"{0: 6, 1: 1, 2: 12, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.265182323560822,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.10238897870893,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.67634940789716,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,5,-28.387522123645763,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.8375223945529,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,5,-89.69930874646703,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.63014442509004,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,3,-93.1808462828631,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.7491107788014,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,6,-57.17088227388365,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-174.0783938966526,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.68355114624973,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
